,PGA,RuBP,fRB,fP,fZ,alphar,PSIId,fR,PR,Cc,Ccyt,Ci,Ca,H2OS,gsw,sumA
78.0,7.790556524436171e-06,7.311421434566615e-05,0.6080363416011102,0.7619549378600087,0.13486311451478236,0.9729906270688614,0.9999975289524302,0.3872755683393994,0.0001216609847585001,0.0001918584399055293,0.0002328907143692562,0.00024361006541205794,0.0003768372542998786,0.015617373603047421,0.09497485846543365,0.0
79.0,7.672035653397148e-06,7.317835526510998e-05,0.6110724515668404,0.7662036720427148,0.13646313829226978,0.9726691636698108,0.9999975269669011,0.3911114204293121,0.00012332046205250152,0.00019146668040744542,0.00023265785011246796,0.00024340022096062624,0.0003768292040303413,0.015617766147819415,0.09503581030277715,0.0
80.0,7.558492683535548e-06,7.323980932090799e-05,0.6140788160242032,0.7703731346907735,0.13806011649826233,0.9723482976369651,0.9999975249889431,0.3949232588484477,0.0001249657915448942,0.00019108164944911787,0.00023243008643573747,0.00024319512160008485,0.0003768213242218903,0.015618158799729248,0.09509669269461728,0.0
81.0,7.4495569785744436e-06,7.329877649051014e-05,0.6170557264507502,0.7744648002778254,0.13965405534008454,0.972028027860232,0.9999975230185054,0.39871123394464014,0.00012659706420965058,0.0001907031909977971,0.00023220730064398872,0.00024299465360980553,0.0003768136054190104,0.0156185514766802,0.09515750572007776,0.0
82.0,7.344895853023255e-06,7.33554363339954e-05,0.6200034714139455,0.7784801150365389,0.14124496102369016,0.9717083532315889,0.9999975210555393,0.4024754951134615,0.00012821437166229838,0.00019033115540801213,0.0002319893766418582,0.0002427987096823497,0.0003768060395316195,0.015618944112948003,0.09521824945819209,0.0
83.0,7.2443510784032735e-06,7.340987371609152e-05,0.6229223366934391,0.7824205001896816,0.14283283983317135,0.9713892726450775,0.9999975190999641,0.4062161908210522,0.00012981780572876038,0.00018996540867565514,0.00023177618561259414,0.00024260716611651525,0.00037679861898731314,0.015619336648336278,0.09527892398790323,0.0
84.0,7.147803505416366e-06,7.346215243111135e-05,0.6258126051591125,0.7862873490943458,0.14441769805196336,0.971070784996833,0.9999975171516999,0.40993346857638224,0.00013140745874228783,0.00018960582314206305,0.00023156760357392648,0.00024241990366489837,0.0003767913373469141,0.015619729036031819,0.09533952938806275,0.0
85.0,7.054740326084742e-06,7.351255017589091e-05,0.6286745570165205,0.7900820286336345,0.1459995417169518,0.97075288918501,0.9999975152107443,0.41362747499095837,0.0001329834228989798,0.00018925224110572826,0.0002313635473186018,0.00024223685279733059,0.0003767841884293054,0.015620121231467088,0.09540006573743359,0.0
86.0,6.964699004664099e-06,7.356131746410682e-05,0.6315084696124341,0.7938058787623243,0.14757837687127134,0.9704355841098453,0.9999975132770915,0.417298355730635,0.0001345457907670417,0.00018890451151030099,0.00023116393562621642,0.00024205794523538335,0.00037677716693861404,0.015620513200294136,0.09546053311468763,0.0
87.0,6.8783052923176534e-06,7.360811318868063e-05,0.6343146177007719,0.79746022264671,0.1491542101609141,0.9701188686735824,0.9999975113505377,0.420946255579712,0.00013609465499613593,0.00018856258658647032,0.00023096860768312508,0.000241883008747291,0.0003767702677374122,0.015620904909210986,0.09552093159840849,0.0
88.0,6.796063381386055e-06,7.365266239155783e-05,0.6370932732360847,0.8010463564579372,0.1507270481401516,0.9698027417805278,0.9999975094309077,0.42457131839155,0.00013763010844219698,0.00018822641075495595,0.00023077741944452058,0.00024171189090181933,0.00037676348637647307,0.015621296332628279,0.09558126126708948,0.0
89.0,6.715265415477595e-06,7.369643721791982e-05,0.6398447056251194,0.804565535905829,0.1522968955063497,0.9694872023369991,0.9999975075185149,0.42817368714552806,0.00013915224357915443,0.00018789562884745077,0.0002305903963945657,0.00024154467361257547,0.000376756818493045,0.015621687445808321,0.09564152219913534,0.0
